diff(10),diff(10),diff(11),diff(11),diff(12),diff(12),diff(13),diff(13),diff(14),diff(14),diff(15),diff(15),diff(16),diff(16),diff(18),diff(18),diff(19),diff(19),diff(20),diff(20),diff(21),diff(21),diff(22),diff(22),diff(23),diff(23),diff(24),diff(24),diff(25),diff(25),diff(26),diff(26),diff(27),diff(27),diff(28),diff(28),diff(29),diff(29),diff(3),diff(3),diff(30),diff(30),diff(31),diff(31),diff(32),diff(32),diff(33),diff(33),diff(34),diff(34),diff(35),diff(35),diff(36),diff(36),diff(37),diff(37),diff(38),diff(38),diff(39),diff(39),diff(4),diff(4),diff(40),diff(40),diff(41),diff(41),diff(42),diff(42),diff(43),diff(43),diff(44),diff(44),diff(45),diff(45),diff(5),diff(5),diff(6),diff(6),diff(7),diff(7),diff(8),diff(8),diff(9),diff(9)
,,dot,dot,,,,,,,orientation,arent,apart,different,,,,,,,left,dot,wrong,long,,,,,,,,,,,,,,,,,,,,,different,triangles,,,wrong,facing,,,,,,,,,compared,triangle,shape,shape,,,orientation,pointing,oriented,doesnt,dot,spaced,lines,facing,two,dots,,,,,,,,,,
,,dot,placement,,,,,,,orientation,90,apart,dot,,,,,,,left,close,wrong,side,,,,,,,,,,,,,,,,,,,,,different,facing,,,wrong,different,,,,,,,,,compared,lot,dot,dot,,,orientation,left,oriented,face,continuous,dots,lines,right,instead,doesnt,,,,,,,,,,
,,inline,different,,,,,,,orientation,degrees,apart,placement,,,,,,,left,center,dot,sides,,,,,,,,,,,,,,,,,,,,,different,side,,,wrong,direction,,,,,,,,,compared,smaller,dot,outside,,,different,black,oriented,right,continuous,arent,point,attached,instead,group,,,,,,,,,,
,,inline,dot,,,,,,,center,branch,dot,dot,,,,,,,left,like,dot,inequal,,,,,,,,,,,,,,,,,,,,,different,direction,,,different,different,,,,,,,,,compared,compared,dot,shape,,,different,circle,right,doesnt,continuous,evenly,point,bars,instead,3,,,,,,,,,,
,,inline,placement,,,,,,,center,different,dot,away,,,,,,,left,lines,wrong,sides,,,,,,,,,,,,,,,,,,,,,orientation,direction,,,different,orientation,,,,,,,,,compared,big,outside,dot,,,different,facing,right,face,continuous,spaced,point,facing,instead,dots,,,,,,,,,,
,,line,different,,,,,,,center,orientation,dot,line,,,,,,,dot,dot,wrong,inequal,,,,,,,,,,,,,,,,,,,,,orientation,triangles,,,orientation,different,,,,,,,,,compared,one,outside,outside,,,different,left,right,right,dots,dots,point,right,random,doesnt,,,,,,,,,,
,,line,dot,,,,,,,line,branch,spaced,dot,,,,,,,dot,closer,dot,shape,,,,,,,,,,,,,,,,,,,,,orientation,facing,,,orientation,orientation,,,,,,,,,others,small,outside,shape,,,different,side,lines,attached,dots,arent,right,attached,random,group,,,,,,,,,,
,,line,placement,,,,,,,line,different,spaced,away,,,,,,,dot,beginning,dot,bigger,,,,,,,,,,,,,,,,,,,,,orientation,side,,,one,different,,,,,,,,,others,triangle,shape,dot,,,different,instead,lines,bars,dots,evenly,right,bars,random,3,,,,,,,,,,
,,dot,dot,,,,,,,line,orientation,spaced,line,,,,,,,farther,dot,dot,others,,,,,,,,,,,,,,,,,,,,,orientation,direction,,,one,orientation,,,,,,,,,others,lot,shape,outside,,,different,right,lines,towards,dots,spaced,right,facing,random,dots,,,,,,,,,,
,,dot,line,,,,,,,orientation,branch,compared,dot,,,,,,,farther,closer,wrong,shape,,,,,,,,,,,,,,,,,,,,,different,shapes,,,shape,different,,,,,,,,,others,smaller,shape,shape,,,different,side,lines,left,spaced,one,right,right,dots,spit,,,,,,,,,,
,,dot,line,,,,,,,orientation,different,compared,away,,,,,,,farther,beginning,wrong,bigger,,,,,,,,,,,,,,,,,,,,,different,parallel,,,shape,orientation,,,,,,,,,others,compared,dot,dot,,,orientation,black,oriented,attached,spaced,dot,lines,one,dots,equal,,,,,,,,,,
,,directly,dot,,,,,,,orientation,orientation,compared,line,,,,,,,left,dot,wrong,others,,,,,,,,,,,,,,,,,,,,,orientation,shapes,,,different,shapes,,,,,,,,,others,big,dot,outside,,,orientation,circle,oriented,bars,spaced,separate,lines,flipped,clustered,spit,,,,,,,,,,
,,directly,line,,,,,,,center,extra,dotline,dot,,,,,,,left,closer,dot,dot,,,,,,,,,,,,,,,,,,,,,orientation,parallel,,,different,facing,,,,,,,,,others,one,dot,shape,,,orientation,facing,oriented,towards,dot,one,lines,correct,clustered,equal,,,,,,,,,,
,,directly,line,,,,,,,center,line,dotline,away,,,,,,,left,beginning,dot,closest,,,,,,,,,,,,,,,,,,,,,different,different,,,different,different,,,,,,,,,small,large,outside,dot,,,orientation,left,oriented,left,dot,dot,lines,way,two,spit,,,,,,,,,,
,,top,dot,,,,,,,center,diagonal,dotline,line,,,,,,,dot,different,dot,left,,,,,,,,,,,,,,,,,,,,,different,dot,,,different,directions,,,,,,,,,small,size,outside,outside,,,orientation,side,right,attached,dot,separate,point,one,two,equal,,,,,,,,,,
,,top,line,,,,,,,center,line,pair,dot,,,,,,,dot,dot,dot,side,,,,,,,,,,,,,,,,,,,,,different,placement,,,orientation,shapes,,,,,,,,,small,difference,outside,shape,,,orientation,instead,right,bars,continuous,one,point,flipped,close,spit,,,,,,,,,,
,,top,line,,,,,,,center,isnt,pair,away,,,,,,,dot,placement,wrong,dot,,,,,,,,,,,,,,,,,,,,,orientation,different,,,orientation,facing,,,,,,,,,triangle,large,shape,dot,,,orientation,right,right,towards,continuous,dot,point,correct,close,equal,,,,,,,,,,
,,line,dot,,,,,,,center,straight,pair,line,,,,,,,farther,different,wrong,closest,,,,,,,,,,,,,,,,,,,,,orientation,dot,,,orientation,different,,,,,,,,,triangle,size,shape,outside,,,orientation,side,right,left,continuous,separate,point,way,sets,spit,,,,,,,,,,
,,line,line,,,,,,,center,like,dot,different,,,,,,,farther,dot,wrong,left,,,,,,,,,,,,,,,,,,,,,orientation,placement,,,orientation,directions,,,,,,,,,triangle,difference,shape,shape,,,different,circle,lines,f,dots,one,right,one,sets,equal,,,,,,,,,,
,,line,line,,,,,,,center,others,dot,dot,,,,,,,farther,placement,wrong,side,,,,,,,,,,,,,,,,,,,,,triangles,shapes,,,one,shapes,,,,,,,,,much,large,dot,different,,,different,left,lines,backwards,dots,dot,right,flipped,two,spit,,,,,,,,,,
,,dot,different,,,,,,,line,extra,dot,placement,,,,,,,left,different,dot,different,,,,,,,,,,,,,,,,,,,,,triangles,pointing,,,one,facing,,,,,,,,,much,size,dot,dot,,,different,line,oriented,f,dots,separate,right,correct,two,equal,,,,,,,,,,
,,dot,dot,,,,,,,line,line,spaced,different,,,,,,,left,dot,dot,dot,,,,,,,,,,,,,,,,,,,,,triangles,direction,,,one,different,,,,,,,,,much,difference,dot,placement,,,orientation,circle,oriented,backwards,spaced,last,right,way,instead,spit,,,,,,,,,,
,,dot,placement,,,,,,,line,diagonal,spaced,dot,,,,,,,left,placement,dot,placement,,,,,,,,,,,,,,,,,,,,,face,shapes,,,one,directions,,,,,,,,,smaller,large,outside,different,,,orientation,left,right,f,spaced,dot,lines,2,instead,equal,,,,,,,,,,
,,directly,different,,,,,,,line,line,spaced,placement,,,,,,,dot,marker,wrong,different,,,,,,,,,,,,,,,,,,,,,face,pointing,,,shape,shapes,,,,,,,,,smaller,size,outside,dot,,,orientation,line,right,backwards,spaced,separated,lines,lines,random,spit,,,,,,,,,,
,,directly,dot,,,,,,,line,isnt,compared,different,,,,,,,dot,less,wrong,dot,,,,,,,,,,,,,,,,,,,,,face,direction,,,shape,facing,,,,,,,,,smaller,difference,outside,placement,,,different,opposite,lines,2,spaced,3,lines,right,random,equal,,,,,,,,,,
,,directly,placement,,,,,,,line,straight,compared,dot,,,,,,,dot,13,wrong,placement,,,,,,,,,,,,,,,,,,,,,direction,shapes,,,shape,different,,,,,,,,,big,large,shape,different,,,different,facing,lines,lines,spaced,dots,point,2,dots,dots,,,,,,,,,,
,,top,different,,,,,,,line,like,compared,placement,,,,,,,orientation,marker,dot,different,,,,,,,,,,,,,,,,,,,,,direction,pointing,,,shape,directions,,,,,,,,,big,size,shape,dot,,,orientation,opposite,lines,left,dot,last,point,lines,dots,separated,,,,,,,,,,
,,top,dot,,,,,,,line,others,dotline,different,,,,,,,orientation,less,dot,orientation,,,,,,,,,,,,,,,,,,,,,direction,direction,,,different,shapes,,,,,,,,,big,difference,shape,placement,,,orientation,facing,oriented,2,dot,dot,point,right,dots,two,,,,,,,,,,
,,top,placement,,,,,,,orientation,extra,dotline,dot,,,,,,,orientation,13,longer,different,,,,,,,,,,,,,,,,,,,,,triangles,direction,,,different,facing,,,,,,,,,triangle,large,dot,dot,,,isnt,top,oriented,lines,dot,separated,right,2,dots,one,,,,,,,,,,
,,line,different,,,,,,,orientation,line,dotline,placement,,,,,,,dot,dot,longer,orientation,,,,,,,,,,,,,,,,,,,,,triangles,triangles,,,different,opposite,,,,,,,,,triangle,size,dot,outside,,,isnt,pointing,oriented,left,dot,3,right,lines,dots,side,,,,,,,,,,
,,line,dot,,,,,,,orientation,diagonal,pair,different,,,,,,,dot,closer,side,different,,,,,,,,,,,,,,,,,,,,,triangles,facing,,,different,direction,,,,,,,,,triangle,difference,dot,shape,,,isnt,left,right,2,dot,dots,right,right,dots,two,,,,,,,,,,
,,line,placement,,,,,,,orientation,line,pair,dot,,,,,,,dot,edge,side,orientation,,,,,,,,,,,,,,,,,,,,,triangles,side,,,orientation,shapes,,,,,,,,,compared,large,outside,dot,,,facing,top,right,lines,continuous,last,lines,different,clustered,dots,,,,,,,,,,
,,dot,different,,,,,,,orientation,isnt,pair,placement,,,,,,,orientation,dot,dot,hole,,,,,,,,,,,,,,,,,,,,,triangles,direction,,,orientation,facing,,,,,,,,,compared,size,outside,outside,,,facing,pointing,right,left,continuous,dot,lines,direction,clustered,separated,,,,,,,,,,
,,dot,dot,,,,,,,orientation,straight,dot,different,,,,,,,orientation,closer,dot,closer,,,,,,,,,,,,,,,,,,,,,face,direction,,,orientation,opposite,,,,,,,,,compared,difference,outside,shape,,,facing,left,lines,facing,continuous,separated,point,different,clustered,two,,,,,,,,,,
,,dot,placement,,,,,,,orientation,like,dot,dot,,,,,,,orientation,edge,dot,long,,,,,,,,,,,,,,,,,,,,,face,triangles,,,orientation,direction,,,,,,,,,others,large,shape,dot,,,right,top,lines,opposite,continuous,3,point,direction,clustered,one,,,,,,,,,,
,,line,different,,,,,,,orientation,others,dot,placement,,,,,,,dot,dot,dot,side,,,,,,,,,,,,,,,,,,,,,face,facing,,,one,shapes,,,,,,,,,others,size,shape,outside,,,right,pointing,lines,direction,continuous,dots,right,different,clustered,side,,,,,,,,,,
,,line,dot,,,,,,,center,small,away,different,,,,,,,dot,close,longer,hole,,,,,,,,,,,,,,,,,,,,,face,side,,,one,facing,,,,,,,,,others,difference,shape,shape,,,right,left,oriented,facing,dots,last,right,direction,clustered,two,,,,,,,,,,
,,line,placement,,,,,,,center,line,away,dot,,,,,,,dot,center,longer,closer,,,,,,,,,,,,,,,,,,,,,face,direction,,,one,opposite,,,,,,,,,small,different,dot,dot,,,isnt,black,oriented,opposite,dots,dot,different,isnt,two,dots,,,,,,,,,,
,,line,different,,,,,,,center,perpendicular,away,placement,,,,,,,dot,like,longer,long,,,,,,,,,,,,,,,,,,,,,direction,direction,,,one,direction,,,,,,,,,small,shape,dot,outside,,,isnt,circle,oriented,direction,dots,separated,different,facing,two,separated,,,,,,,,,,
,,line,dot,,,,,,,line,small,line,different,,,,,,,dot,lines,longer,side,,,,,,,,,,,,,,,,,,,,,direction,triangles,,,shape,shapes,,,,,,,,,small,angle,dot,shape,,,isnt,facing,right,facing,dots,3,different,left,two,two,,,,,,,,,,
,,line,placement,,,,,,,line,line,line,dot,,,,,,,orientation,dot,side,hole,,,,,,,,,,,,,,,,,,,,,direction,facing,,,shape,facing,,,,,,,,,triangle,different,outside,dot,,,isnt,left,right,opposite,dots,dots,orientation,isnt,two,one,,,,,,,,,,
,,,,,,,,,,line,perpendicular,line,placement,,,,,,,orientation,close,side,closer,,,,,,,,,,,,,,,,,,,,,direction,side,,,shape,opposite,,,,,,,,,triangle,shape,outside,outside,,,isnt,side,right,direction,spaced,dots,orientation,facing,two,side,,,,,,,,,,
,,,,,,,,,,orientation,small,,,,,,,,,orientation,center,side,long,,,,,,,,,,,,,,,,,,,,,direction,direction,,,shape,direction,,,,,,,,,triangle,angle,outside,shape,,,isnt,instead,two,facing,spaced,spacing,orientation,left,two,two,,,,,,,,,,
,,,,,,,,,,orientation,line,,,,,,,,,orientation,like,side,side,,,,,,,,,,,,,,,,,,,,,triangles,shapes,,,different,shapes,,,,,,,,,much,different,shape,dot,,,isnt,right,two,left,dot,dots,different,attached,close,dots,,,,,,,,,,
,,,,,,,,,,orientation,perpendicular,,,,,,,,,orientation,lines,dot,sides,,,,,,,,,,,,,,,,,,,,,triangles,parallel,,,different,opposites,,,,,,,,,much,shape,shape,outside,,,isnt,side,small,facing,dot,spacing,different,bars,close,separated,,,,,,,,,,
,,,,,,,,,,center,curved,,,,,,,,,dot,dot,dot,inequal,,,,,,,,,,,,,,,,,,,,,face,shapes,,,different,sides,,,,,,,,,much,angle,shape,shape,,,facing,black,small,left,continuous,dots,different,facing,close,two,,,,,,,,,,
,,,,,,,,,,center,line,,,,,,,,,dot,closer,longer,sides,,,,,,,,,,,,,,,,,,,,,face,parallel,,,different,get,,,,,,,,,smaller,different,dot,different,,,facing,circle,lines,facing,continuous,spacing,different,right,close,one,,,,,,,,,,
,,,,,,,,,,line,curved,,,,,,,,,dot,beginning,longer,inequal,,,,,,,,,,,,,,,,,,,,,direction,shapes,,,different,close,,,,,,,,,smaller,shape,dot,dot,,,facing,facing,lines,left,dots,dots,orientation,attached,close,side,,,,,,,,,,
,,,,,,,,,,line,line,,,,,,,,,orientation,dot,side,sides,,,,,,,,,,,,,,,,,,,,,direction,parallel,,,different,would,,,,,,,,,smaller,angle,dot,placement,,,facing,left,left,facing,dots,spacing,orientation,bars,close,two,,,,,,,,,,
,,,,,,,,,,orientation,curved,,,,,,,,,orientation,closer,side,inequal,,,,,,,,,,,,,,,,,,,,,triangles,different,,,different,actually,,,,,,,,,big,different,outside,different,,,facing,side,left,left,spaced,different,orientation,facing,sets,dots,,,,,,,,,,
,,,,,,,,,,orientation,line,,,,,,,,,orientation,beginning,dot,shape,,,,,,,,,,,,,,,,,,,,,triangles,dot,,,different,fit,,,,,,,,,big,shape,outside,dot,,,facing,instead,line,facing,spaced,dot,orientation,right,sets,separated,,,,,,,,,,
,,,,,,,,,,angles,branch,,,,,,,,,dot,different,dot,bigger,,,,,,,,,,,,,,,,,,,,,triangles,placement,,,different,together,,,,,,,,,big,angle,outside,placement,,,facing,right,line,left,spaced,placement,different,one,sets,two,,,,,,,,,,
,,,,,,,,,,angles,different,,,,,,,,,dot,dot,dot,others,,,,,,,,,,,,,,,,,,,,,face,different,,,orientation,shapes,,,,,,,,,triangle,different,shape,different,,,facing,side,instead,facing,dot,different,different,flipped,sets,one,,,,,,,,,,
,,,,,,,,,,angles,orientation,,,,,,,,,dot,placement,longer,shape,,,,,,,,,,,,,,,,,,,,,face,dot,,,orientation,opposites,,,,,,,,,triangle,shape,shape,dot,,,right,black,instead,left,dot,dot,different,correct,sets,side,,,,,,,,,,
,,,,,,,,,,arent,branch,,,,,,,,,orientation,different,longer,bigger,,,,,,,,,,,,,,,,,,,,,face,placement,,,orientation,sides,,,,,,,,,triangle,angle,shape,placement,,,right,circle,right,facing,dot,placement,different,way,sets,two,,,,,,,,,,
,,,,,,,,,,arent,different,,,,,,,,,orientation,dot,longer,others,,,,,,,,,,,,,,,,,,,,,direction,different,,,orientation,get,,,,,,,,,compared,different,dot,dot,,,right,facing,right,left,continuous,different,orientation,one,two,dots,,,,,,,,,,
,,,,,,,,,,arent,orientation,,,,,,,,,orientation,placement,side,shape,,,,,,,,,,,,,,,,,,,,,direction,dot,,,orientation,close,,,,,,,,,compared,shape,dot,outside,,,right,left,two,lines,continuous,dot,orientation,flipped,two,separated,,,,,,,,,,
,,,,,,,,,,90,branch,,,,,,,,,marker,dot,side,bigger,,,,,,,,,,,,,,,,,,,,,direction,placement,,,orientation,would,,,,,,,,,compared,angle,dot,shape,,,right,side,two,point,continuous,placement,orientation,correct,two,two,,,,,,,,,,
,,,,,,,,,,90,different,,,,,,,,,marker,closer,side,others,,,,,,,,,,,,,,,,,,,,,shapes,direction,,,orientation,actually,,,,,,,,,others,different,outside,dot,,,right,instead,two,left,dots,different,orientation,way,two,one,,,,,,,,,,
,,,,,,,,,,90,orientation,,,,,,,,,marker,edge,dot,dot,,,,,,,,,,,,,,,,,,,,,shapes,triangles,,,orientation,fit,,,,,,,,,others,shape,outside,outside,,,right,right,small,lines,dots,dot,different,2,two,side,,,,,,,,,,
,,,,,,,,,,degrees,branch,,,,,,,,,less,dot,dot,closest,,,,,,,,,,,,,,,,,,,,,shapes,facing,,,orientation,together,,,,,,,,,others,angle,outside,shape,,,right,side,small,point,dots,placement,different,lines,two,two,,,,,,,,,,
,,,,,,,,,,degrees,different,,,,,,,,,less,closer,dot,left,,,,,,,,,,,,,,,,,,,,,shapes,side,,,one,shapes,,,,,,,,,triangle,small,shape,dot,,,isnt,circle,small,left,dots,one,different,right,instead,dots,,,,,,,,,,
,,,,,,,,,,degrees,orientation,,,,,,,,,less,edge,dot,side,,,,,,,,,,,,,,,,,,,,,shapes,direction,,,one,opposites,,,,,,,,,triangle,shape,shape,outside,,,isnt,left,lines,lines,dots,dot,orientation,2,instead,separated,,,,,,,,,,
,,,,,,,,,,angles,extra,,,,,,,,,13,dot,longer,dot,,,,,,,,,,,,,,,,,,,,,pointing,direction,,,one,sides,,,,,,,,,triangle,top,shape,shape,,,isnt,line,lines,point,dots,separate,orientation,lines,instead,two,,,,,,,,,,
,,,,,,,,,,angles,line,,,,,,,,,13,closer,longer,closest,,,,,,,,,,,,,,,,,,,,,pointing,triangles,,,one,get,,,,,,,,,really,small,dot,different,,,facing,circle,lines,left,arent,one,orientation,right,instead,one,,,,,,,,,,
,,,,,,,,,,angles,diagonal,,,,,,,,,13,edge,longer,left,,,,,,,,,,,,,,,,,,,,,pointing,facing,,,one,close,,,,,,,,,really,shape,dot,dot,,,facing,left,left,lines,arent,dot,different,different,instead,side,,,,,,,,,,
,,,,,,,,,,angles,line,,,,,,,,,marker,dot,longer,side,,,,,,,,,,,,,,,,,,,,,pointing,side,,,one,would,,,,,,,,,really,top,dot,placement,,,facing,line,left,point,arent,separate,different,direction,instead,two,,,,,,,,,,
,,,,,,,,,,angles,isnt,,,,,,,,,marker,close,side,dot,,,,,,,,,,,,,,,,,,,,,pointing,direction,,,one,actually,,,,,,,,,large,small,outside,different,,,right,circle,left,left,evenly,one,orientation,different,random,dots,,,,,,,,,,
,,,,,,,,,,angles,straight,,,,,,,,,marker,center,side,closest,,,,,,,,,,,,,,,,,,,,,direction,direction,,,one,fit,,,,,,,,,large,shape,outside,dot,,,right,left,line,lines,evenly,dot,orientation,direction,random,separated,,,,,,,,,,
,,,,,,,,,,angles,like,,,,,,,,,marker,like,side,left,,,,,,,,,,,,,,,,,,,,,direction,triangles,,,one,together,,,,,,,,,large,top,outside,placement,,,right,line,line,point,evenly,separate,isnt,attached,random,two,,,,,,,,,,
,,,,,,,,,,angles,others,,,,,,,,,marker,lines,side,side,,,,,,,,,,,,,,,,,,,,,direction,facing,,,shape,shapes,,,,,,,,,one,small,shape,different,,,isnt,opposite,line,left,spaced,one,isnt,bars,random,one,,,,,,,,,,
,,,,,,,,,,arent,extra,,,,,,,,,less,dot,dot,different,,,,,,,,,,,,,,,,,,,,,direction,side,,,shape,opposites,,,,,,,,,one,shape,shape,dot,,,isnt,facing,instead,lines,spaced,dot,isnt,facing,random,side,,,,,,,,,,
,,,,,,,,,,arent,line,,,,,,,,,less,close,dot,dot,,,,,,,,,,,,,,,,,,,,,direction,direction,,,shape,sides,,,,,,,,,one,top,shape,placement,,,facing,opposite,instead,point,spaced,separate,isnt,right,random,two,,,,,,,,,,
,,,,,,,,,,arent,diagonal,,,,,,,,,less,center,dot,placement,,,,,,,,,,,,,,,,,,,,,shapes,shapes,,,shape,get,,,,,,,,,really,small,dot,different,,,facing,facing,instead,left,dots,last,facing,attached,dots,spacing,,,,,,,,,,
,,,,,,,,,,arent,line,,,,,,,,,less,like,longer,different,,,,,,,,,,,,,,,,,,,,,shapes,parallel,,,shape,close,,,,,,,,,really,shape,dot,dot,,,right,opposite,right,lines,dots,dot,facing,bars,dots,different,,,,,,,,,,
,,,,,,,,,,arent,isnt,,,,,,,,,less,lines,longer,dot,,,,,,,,,,,,,,,,,,,,,pointing,shapes,,,shape,would,,,,,,,,,really,top,dot,placement,,,right,facing,right,point,dots,separated,facing,facing,clustered,spacing,,,,,,,,,,
,,,,,,,,,,arent,straight,,,,,,,,,13,dot,longer,placement,,,,,,,,,,,,,,,,,,,,,pointing,parallel,,,shape,actually,,,,,,,,,small,small,outside,different,,,top,black,right,left,dots,3,facing,right,clustered,different,,,,,,,,,,
,,,,,,,,,,arent,like,,,,,,,,,13,close,side,different,,,,,,,,,,,,,,,,,,,,,direction,shapes,,,shape,fit,,,,,,,,,small,shape,outside,dot,,,top,circle,two,different,dots,dots,left,attached,two,spacing,,,,,,,,,,
,,,,,,,,,,arent,others,,,,,,,,,13,center,side,dot,,,,,,,,,,,,,,,,,,,,,direction,parallel,,,shape,together,,,,,,,,,small,top,outside,placement,,,top,facing,two,orientation,arent,last,left,bars,two,different,,,,,,,,,,
,,,,,,,,,,90,extra,,,,,,,,,13,like,side,placement,,,,,,,,,,,,,,,,,,,,,shapes,different,,,different,shapes,,,,,,,,,triangle,shape,shape,different,,,top,left,small,different,arent,dot,left,facing,close,spacing,,,,,,,,,,
,,,,,,,,,,90,line,,,,,,,,,13,lines,different,hole,,,,,,,,,,,,,,,,,,,,,shapes,dot,,,orientation,shapes,,,,,,,,,triangle,orientation,shape,dot,,,top,side,small,orientation,arent,separated,left,right,close,different,,,,,,,,,,
,,,,,,,,,,90,diagonal,,,,,,,,,marker,dot,different,closer,,,,,,,,,,,,,,,,,,,,,shapes,placement,,,one,shapes,,,,,,,,,really,shape,shape,placement,,,top,instead,lines,different,arent,3,isnt,one,sets,spacing,,,,,,,,,,
,,,,,,,,,,90,line,,,,,,,,,marker,closer,different,long,,,,,,,,,,,,,,,,,,,,,pointing,different,,,shape,shapes,,,,,,,,,really,orientation,,,,,top,right,lines,orientation,arent,dots,isnt,flipped,sets,different,,,,,,,,,,
,,,,,,,,,,90,isnt,,,,,,,,,marker,beginning,different,side,,,,,,,,,,,,,,,,,,,,,pointing,dot,,,different,facing,,,,,,,,,large,shape,,,,,top,side,left,different,evenly,last,isnt,correct,two,spacing,,,,,,,,,,
,,,,,,,,,,90,straight,,,,,,,,,less,dot,orientation,hole,,,,,,,,,,,,,,,,,,,,,pointing,placement,,,different,different,,,,,,,,,large,orientation,,,,,pointing,black,left,orientation,evenly,dot,isnt,way,two,different,,,,,,,,,,
,,,,,,,,,,90,like,,,,,,,,,less,closer,orientation,closer,,,,,,,,,,,,,,,,,,,,,direction,different,,,different,direction,,,,,,,,,one,shape,,,,,pointing,circle,line,different,evenly,separated,facing,one,instead,spacing,,,,,,,,,,
,,,,,,,,,,90,others,,,,,,,,,less,beginning,orientation,long,,,,,,,,,,,,,,,,,,,,,direction,dot,,,orientation,facing,,,,,,,,,one,orientation,,,,,pointing,facing,line,orientation,evenly,3,facing,flipped,instead,different,,,,,,,,,,
,,,,,,,,,,degrees,extra,,,,,,,,,13,dot,orientation,side,,,,,,,,,,,,,,,,,,,,,direction,placement,,,orientation,different,,,,,,,,,really,shape,,,,,pointing,left,instead,different,evenly,dots,facing,correct,random,spacing,,,,,,,,,,
,,,,,,,,,,degrees,line,,,,,,,,,13,closer,different,sides,,,,,,,,,,,,,,,,,,,,,direction,shapes,,,orientation,direction,,,,,,,,,really,orientation,,,,,pointing,side,instead,orientation,spaced,last,facing,way,random,different,,,,,,,,,,
,,,,,,,,,,degrees,diagonal,,,,,,,,,13,beginning,different,inequal,,,,,,,,,,,,,,,,,,,,,direction,parallel,,,one,facing,,,,,,,,,small,shape,,,,,pointing,instead,right,different,spaced,dot,left,one,dots,different,,,,,,,,,,
,,,,,,,,,,degrees,line,,,,,,,,,marker,different,orientation,sides,,,,,,,,,,,,,,,,,,,,,triangles,shapes,,,one,different,,,,,,,,,small,orientation,,,,,pointing,right,right,orientation,spaced,separated,left,flipped,dots,arrangement,,,,,,,,,,
,,,,,,,,,,degrees,isnt,,,,,,,,,marker,dot,orientation,inequal,,,,,,,,,,,,,,,,,,,,,triangles,parallel,,,one,direction,,,,,,,,,triangle,shapes,,,,,pointing,side,two,doesnt,spaced,3,left,correct,clustered,different,,,,,,,,,,
,,,,,,,,,,degrees,straight,,,,,,,,,marker,placement,different,shape,,,,,,,,,,,,,,,,,,,,,facing,shapes,,,shape,facing,,,,,,,,,triangle,arent,,,,,left,black,two,face,spaced,dots,left,way,clustered,arrangement,,,,,,,,,,
,,,,,,,,,,degrees,like,,,,,,,,,less,different,different,bigger,,,,,,,,,,,,,,,,,,,,,facing,parallel,,,shape,different,,,,,,,,,triangle,size,,,,,left,circle,two,right,dots,dots,isnt,2,two,different,,,,,,,,,,
,,,,,,,,,,degrees,others,,,,,,,,,less,dot,different,others,,,,,,,,,,,,,,,,,,,,,side,shapes,,,shape,direction,,,,,,,,,really,shapes,,,,,left,facing,small,doesnt,dots,spacing,isnt,lines,two,arrangement,,,,,,,,,,
,,,,,,,,,,angles,small,,,,,,,,,less,placement,orientation,shape,,,,,,,,,,,,,,,,,,,,,side,parallel,,,different,shapes,,,,,,,,,really,arent,,,,,left,left,small,face,arent,dots,isnt,right,close,different,,,,,,,,,,
,,,,,,,,,,angles,line,,,,,,,,,13,different,orientation,bigger,,,,,,,,,,,,,,,,,,,,,direction,shapes,,,different,facing,,,,,,,,,really,size,,,,,left,side,small,right,arent,spacing,facing,2,close,arrangement,,,,,,,,,,
,,,,,,,,,,angles,perpendicular,,,,,,,,,13,dot,orientation,others,,,,,,,,,,,,,,,,,,,,,direction,parallel,,,different,different,,,,,,,,,large,shapes,,,,,left,instead,lines,doesnt,evenly,dots,facing,lines,sets,different,,,,,,,,,,
,,,,,,,,,,arent,small,,,,,,,,,13,placement,different,dot,,,,,,,,,,,,,,,,,,,,,direction,different,,,different,directions,,,,,,,,,large,arent,,,,,left,right,lines,face,evenly,spacing,facing,right,sets,arrangement,,,,,,,,,,
,,,,,,,,,,arent,line,,,,,,,,,dot,dot,different,closest,,,,,,,,,,,,,,,,,,,,,direction,dot,,,orientation,shapes,,,,,,,,,large,size,,,,,left,side,lines,right,spaced,dots,left,2,two,different,,,,,,,,,,
,,,,,,,,,,arent,perpendicular,,,,,,,,,dot,close,different,left,,,,,,,,,,,,,,,,,,,,,direction,placement,,,orientation,facing,,,,,,,,,one,shapes,,,,,top,circle,left,doesnt,spaced,spacing,left,lines,two,arrangement,,,,,,,,,,
,,,,,,,,,,90,small,,,,,,,,,dot,center,different,side,,,,,,,,,,,,,,,,,,,,,triangles,different,,,orientation,different,,,,,,,,,one,arent,,,,,top,left,left,face,dots,different,left,right,instead,different,,,,,,,,,,
,,,,,,,,,,90,line,,,,,,,,,dot,like,orientation,dot,,,,,,,,,,,,,,,,,,,,,triangles,dot,,,orientation,directions,,,,,,,,,one,size,,,,,top,line,left,right,dots,dot,isnt,different,instead,arrangement,,,,,,,,,,
,,,,,,,,,,90,perpendicular,,,,,,,,,dot,lines,orientation,closest,,,,,,,,,,,,,,,,,,,,,triangles,placement,,,different,shapes,,,,,,,,,really,shapes,,,,,pointing,circle,line,doesnt,dots,placement,isnt,direction,random,different,,,,,,,,,,
